paper_id,title,year,paper_type,venue,authors,doi,arxiv,url,status,datasets,public_datasets,manufacturing_dataset_candidates,methods,tasks,domains,metrics,synthesis_candidate,candidate_match_location,synthesis_families,source_note
arxiv:1705.03122,Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,2018,research,ICML 2018,Brenden Lake | Marco Baroni,,1705.03122,https://github.com/brendenlake/SCAN,processed,SCAN,SCAN,,Sequence-to-sequence recurrent network,Compositional generalization,Natural language processing,Exact-match accuracy,no,note body,,Papers/Research/2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks.md
arxiv:1805.11778,Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images,2018,research,arXiv preprint,Fernando Camaro Nogues | Andrew Huie | Sakyasingha Dasgupta,,1805.11778,https://arxiv.org/abs/1805.11778,processed,Industrial electric parts synthetic dataset,,,Domain randomization | CycleGAN | Hybrid generative-procedural synthesis | Synthetic data generation,Object detection,Semiconductor and electronics,mAP,no,structured metadata,,Papers/Research/2018 - Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images.md
doi:10.3389/frobt.2018.00066,RenderGAN: Generating Realistic Labeled Data,2018,research,Frontiers in Robotics and AI,Leon Sixt | Benjamin Wild | Tim Landgraf,10.3389/frobt.2018.00066,,https://doi.org/10.3389/frobt.2018.00066,processed,BeesBook marker dataset,,,RenderGAN | Hybrid generative-procedural synthesis | GAN | Synthetic data generation,Marker decoding,Animal tracking,Mean Hamming distance,no,structured metadata,,Papers/Research/2018 - RenderGAN Generating Realistic Labeled Data.md
sha256:ca6ab579854a235332f5691b8271953d9a13f88ba596d5a387c91da3332ac2cf,Training Deep Networks with Synthetic Data: Bridging the Reality Gap by Domain Randomization,2018,research,CVPR 2018,Jonathan Tremblay | Aayush Prakash | David Acuna | Mark Brophy | Varun Jampani | Cem Anil | Thang To | Eric Cameracci | Shaad Boochoon | Stan Birchfield,,,,processed,Domain-randomized KITTI car detection synthetic dataset | KITTI,,,Domain randomization | Synthetic data generation | Faster R-CNN | Single Shot MultiBox Detector,Object detection,Autonomous driving,mAP@0.50 | Average precision,no,structured metadata,,Papers/Research/2018 - Training Deep Networks with Synthetic Data Bridging the Reality Gap by Domain Randomization.md
sha256:dd562ebbe12ad3676e28b5c81e82237a67cd8ff3bf57494fb9388d9b0e6f1d70,A Public Fabric Database for Defect Detection Methods and Results,2019,dataset,AUTEX Research Journal,Javier Silvestre-Blanes | Teresa Albero-Albero | Ignacio Miralles | Ruben Perez-Llorens | Jorge Moreno,10.2478/aut-2019-0035,,https://doi.org/10.2478/aut-2019-0035,processed,AITEX,AITEX,AITEX,Gabor filters,Textile defect detection | Defect classification,Textile and fiber inspection,Detection success rate | Detection rate | Specificity | False alarm rate,yes,note body,other generative synthesis,Papers/Dataset/2019 - A Public Fabric Database for Defect Detection Methods and Results.md
doi:10.18653/v1/s17-2001,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2019,research,,Jacob Devlin | Ming-Wei Chang | Kenton Lee | Kristina Toutanova,,1810.04805,https://arxiv.org/abs/1810.04805,processed,GLUE | SQuAD v1.1 | SQuAD v2.0 | SWAG,,,BERT | Transformer | Masked language modeling | Next sentence prediction,Language understanding | Question answering,,Accuracy | F1-score | Exact match,no,none,,Papers/Research/2019 - BERT Pre-training of Deep Bidirectional Transformers for Language Understanding.md
doi:10.1109/ent47717.2019.9030550,Classification of Wafer Maps Defect Based on Deep Learning Methods With Small Amount of Data,2019,research,IEEE conference paper,Kudrov Maksim | Bukharov Kirill | Zakharov Eduard | Grishin Nikita | Bazzaev Aleksandr | Lozhkina Arina | Semenkin Vladislav | Makhotkin Daniil | Krivoshein Nikolay,10.1109/ent47717.2019.9030550,,https://doi.org/10.1109/ent47717.2019.9030550,processed,WM-811K,WM-811K,WM-811K,Deep convolutional neural network | Parametric wafer map synthesis,Wafer map defect classification,Semiconductor and electronics,Accuracy | Precision | Recall | F1-score,yes,structured metadata,other generative synthesis,Papers/Research/2019 - Classification of Wafer Maps Defect Based on Deep Learning Methods With Small Amount of Data.md
sha256:0ccaa125d5cbfb8845ef22c1a2811275d98554ed37e64b5d819341181484fb96,Online PCB Defect Detector on a New PCB Defect Dataset,2019,dataset,,Sanli Tang | Fan He | Xiaolin Huang | Jie Yang,,1902.06197,https://arxiv.org/abs/1902.06197,processed,DeepPCB,DeepPCB,DeepPCB,Group pyramid pooling,PCB defect detection | PCB defect classification,Semiconductor and electronics,mAP | FPS | Precision | Recall | F1-score,no,none,,Papers/Dataset/2019 - Online PCB Defect Detector on a New PCB Defect Dataset.md
sha256:b074dfc56bd6f325dd96157fca19476502f3030b0dcaf2881f6c2badbba4d872,Structured Domain Randomization: Bridging the Reality Gap by Context-Aware Synthetic Data,2019,research,ICRA 2019,Aayush Prakash | Eric Cameracci | Shaad Boochoon | Gavriel State | Mark Brophy | Omer Shapira | David Acuna | Stan Birchfield,,,,processed,SDR synthetic vehicle dataset | KITTI,,,Structured domain randomization | Domain randomization | Procedural and simulation-based synthesis | Faster R-CNN,Object detection,Autonomous driving,AP@0.7 IoU,no,structured metadata,,Papers/Research/2019 - Structured Domain Randomization Bridging the Reality Gap by Context-Aware Synthetic Data.md
doi:10.1109/tsm.2020.3013004,A Light-Weight Neural Network for Wafer Map Classification Based on Data Augmentation,2020,research,IEEE Transactions on Semiconductor Manufacturing,Tsung-Han Tsai | Yu-Chen Lee,10.1109/TSM.2020.3013004,,https://doi.org/10.1109/TSM.2020.3013004,processed,WM-811K | Taiwan company 21-defect wafer map dataset,WM-811K,WM-811K,MobileNet | Depthwise separable convolution | Autoencoder-decoder data augmentation,Wafer map defect classification,Semiconductor and electronics,Accuracy | F1-score | FPS | G-mean,yes,note body,other generative synthesis,Papers/Research/2020 - A Light-Weight Neural Network for Wafer Map Classification Based on Data Augmentation.md
doi:10.1109/tim.2019.2915404,An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,2020,dataset,IEEE Transactions on Instrumentation and Measurement,Yu He | Kechen Song | Qinggang Meng | Yunhui Yan,10.1109/TIM.2019.2915404,,https://doi.org/10.1109/TIM.2019.2915404,processed,NEU-CLS | NEU-DET | ImageNet,ImageNet | NEU-DET | Northeastern University (NEU) surface defect database,NEU-DET | Northeastern University (NEU) surface defect database,Defect Detection Network | Multilevel feature fusion network | Faster R-CNN | ResNet50,Metallic surface defect detection | Object detection,Metal inspection,mAP | Average precision | Recall | FPS,no,none,,Papers/Dataset/2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features.md
sha256:330bf36b67008058389ec82b0a477610a9e1197bf87d1048a76870430e091ba6,Deep Metallic Surface Defect Detection: The New Benchmark and Detection Network,2020,dataset,Sensors,Xiaoming Lv | Fajie Duan | Jia-jia Jiang | Xiao Fu | Lin Gan,,,https://doi.org/10.3390/s20061562,processed,GC10-DET | NEU-DET,GC10-DET | NEU-DET,GC10-DET | NEU-DET,EDDN | Single Shot MultiBox Detector | Hard negative mining | Data augmentation,Metallic surface defect detection,Metal inspection,Recall | Average precision | mAP | Inference time,yes,note body,procedural synthesis,Papers/Dataset/2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network.md
doi:10.1109/tase.2020.2967415,Defect Image Sample Generation With GAN for Improving Defect Recognition,2020,research,IEEE Transactions on Automation Science and Engineering,Shuanlong Niu | Bin Li | Xinggang Wang | Hui Lin,10.1109/tase.2020.2967415,,https://doi.org/10.1109/TASE.2020.2967415,processed,Commutator Cylinder Surface Defect Dataset,,,SDGAN | GAN | Data augmentation,Defect classification | Surface defect detection,Multi-industry anomaly detection,FID | Error rate | Relative improvement,no,structured metadata,,Papers/Research/2020 - Defect Image Sample Generation With GAN for Improving Defect Recognition.md
doi:10.1109/tsm.2020.3020985,Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition,2020,research,IEEE Transactions on Semiconductor Manufacturing,Junliang Wang | Chuqiao Xu | Zhengliang Yang | Jie Zhang | Xiaoou Li,10.1109/tsm.2020.3020985,,https://doi.org/10.1109/TSM.2020.3020985,processed,MixedWM38,MixedWM38,MixedWM38,DC-Net | Deformable convolution | One-hot multi-label wafer defect decoding,Wafer map defect classification,Semiconductor and electronics,Accuracy | Precision | Recall,yes,note body,simulation,Papers/Research/2020 - Deformable Convolutional Networks for Efficient Mixed-Type Wafer Defect Pattern Recognition.md
sha256:cb471d4c0063cad56f8d74b6a72fa7dad1677f8423a0a81349487a63bb58d3de,Denoising Diffusion Probabilistic Models,2020,research,NeurIPS 2020,Jonathan Ho | Ajay Jain | Pieter Abbeel,10.48550/arxiv.2006.11239,2006.11239,http://arxiv.org/abs/2006.11239,processed,CIFAR-10 | CelebA-HQ 256x256 | LSUN Church 256x256 | LSUN Bedroom 256x256,,,Diffusion models | Learned generative synthesis,Generative modeling,,FID | Inception Score | Bits per dimension,no,structured metadata,,Papers/Research/2020 - Denoising Diffusion Probabilistic Models.md
doi:10.1049/joe.2019.1183,HRIPCB: a Challenging Dataset for PCB Defects Detection and Classification,2020,dataset,The Journal of Engineering,Weibo Huang | Peng Wei | Manhua Zhang | Hong Liu,10.1049/joe.2019.1183,1901.08204,https://doi.org/10.1049/joe.2019.1183,processed,HRIPCB,HRIPCB,HRIPCB,Reference-based PCB inspection | RBCNN,PCB defect detection | PCB defect classification,Semiconductor and electronics,Average classification precision | Defect detection error rate | Inference time,no,none,,Papers/Dataset/2020 - HRIPCB a Challenging Dataset for PCB Defects Detection and Classification.md
sha256:3ef9bb50acd5bfdf44ae18f850572b4c60608582a3f2ce7eb3863c330d093402,Infrared Solar Module Dataset for Anomaly Detection,2020,dataset,ICLR 2020 AI for Earth Sciences Workshop,Matthew Millendorf | Edward Obropta | Nikhil Vadhavkar,,,,processed,InfraredSolarModules,InfraredSolarModules,InfraredSolarModules,Infrared thermography,Solar module anomaly classification,Solar cells and photovoltaic,Accuracy,no,none,,Papers/Dataset/2020 - Infrared Solar Module Dataset for Anomaly Detection.md
doi:10.1109/tii.2019.2958826,PGA-Net: Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection,2020,research,IEEE Transactions on Industrial Informatics,Hongwen Dong | Kechen Song | Yu He | Jing Xu | Yunhui Yan | Qinggang Meng,10.1109/tii.2019.2958826,,https://doi.org/10.1109/TII.2019.2958826,processed,NEU-SEG | DAGM2007 | Magnetic Tile Defects,DAGM2007 | Magnetic Tile Defects | NEU-SEG,DAGM2007 | Magnetic Tile Defects | NEU-SEG,PGA-Net | VGG-16 | Segmentation Models,Defect segmentation | Metallic surface defect detection,Metal inspection,mIoU | Mean pixel accuracy | FPS,no,none,,Papers/Research/2020 - PGA-Net Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection.md
doi:10.1007/s10845-019-01476-x,Segmentation-Based Deep-Learning Approach for Surface-Defect Detection,2020,dataset,Journal of Intelligent Manufacturing,Domen Tabernik | Samo Sela | Jure Skvarc | Danijel Skocaj,10.1007/s10845-019-01476-x,,https://doi.org/10.1007/s10845-019-01476-x,processed,KolektorSDD,KolektorSDD,KolektorSDD,Segmentation-decision network | Deep convolutional neural network,Defect classification | Defect segmentation,Metal inspection,Average precision | F-measure | Precision | Recall,yes,note body,other generative synthesis,Papers/Dataset/2020 - Segmentation-Based Deep-Learning Approach for Surface-Defect Detection.md
doi:10.1109/tsm.2020.3038165,Self-Supervised Representation Learning for Wafer Bin Map Defect Pattern Classification,2020,research,IEEE Transactions on Semiconductor Manufacturing,Hyungu Kahng | Seoung Bum Kim,10.1109/TSM.2020.3038165,,https://doi.org/10.1109/TSM.2020.3038165,processed,WM-811K,WM-811K,WM-811K,WaPIRL | Self-supervised learning,Wafer map defect classification,Semiconductor and electronics,Accuracy | F1-score | AU-PR,no,none,,Papers/Research/2020 - Self-Supervised Representation Learning for Wafer Bin Map Defect Pattern Classification.md
doi:10.1007/s00371-018-1588-5,Surface Defect Saliency of Magnetic Tile,2020,dataset,The Visual Computer,Yibin Huang | Congying Qiu | Kui Yuan,10.1007/s00371-018-1588-5,,https://doi.org/10.1007/s00371-018-1588-5,processed,Magnetic Tile Defects,Magnetic Tile Defects,Magnetic Tile Defects,MCuePush U-Net | U-Net,Defect segmentation | Metallic surface defect detection,Metal inspection,Precision | Recall | F-measure | AU-ROC | Mean Absolute Error,yes,note body,other generative synthesis,Papers/Dataset/2020 - Surface Defect Saliency of Magnetic Tile.md
sha256:e6d97def995c62d0b1f55a748532dc460faeb718f73f36f24325368063932a24,Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification: Yield Enhancement,2020,research,31st Annual SEMI Advanced Semiconductor Manufacturing Conference,YongSung Ji | Jee-Hyong Lee,10.1109/ASMC49169.2020.9185193,,https://doi.org/10.1109/ASMC49169.2020.9185193,processed,WM-811K,WM-811K,WM-811K,DCGAN wafer map augmentation | GAN | Data augmentation,Wafer map defect classification | Defect classification,Semiconductor and electronics,Accuracy,yes,structured metadata,GAN-based generation,Papers/Research/2020 - Using GAN to Improve CNN Performance of Wafer Map Defect Type Classification.md
doi:10.1109/access.2020.3024554,Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN,2020,research,IEEE Access,Minsu Kim | Hoon Jo | Moonsoo Ra | Whoi-Yul Kim,10.1109/access.2020.3024554,2020.30245,https://doi.org/10.1109/ACCESS.2020.3024554,processed,private SEM semiconductor periodic-texture defect dataset | TILDA,TILDA,TILDA,CycleGAN | DCGAN | GAN | Data augmentation | Synthetic data generation | PatchMatch | PSGAN,Defect segmentation | Industrial anomaly detection,Semiconductor and electronics | Textile and fiber inspection,IoU | mIoU,yes,structured metadata,GAN-based generation,Papers/Research/2020 - Weakly-Supervised Defect Segmentation on Periodic Textures Using CycleGAN.md
sha256:a23ad9f7051c2d33737c3d6b5fa881a9ca9430f3ad3901716d352445970e82d4,"Comprehensive Device Modelling and Performance Analysis of MASnI3 Based Perovskite Solar Cells with Diverse ETM, HTM and Back Metal Contacts",2021,research,Solar Energy,K. Deepthi Jayan | Varkey Sebastian,10.1016/j.solener.2021.01.058,,https://doi.org/10.1016/j.solener.2021.01.058,processed,,,,SCAPS 1D,Perovskite solar cell device simulation,Solar cells and photovoltaic,Power conversion efficiency | Fill factor | Short-circuit current density | Open-circuit voltage | Quantum efficiency,no,structured metadata,,Papers/Research/2021 - Comprehensive Device Modelling and Performance Analysis of MASnI3 Based Perovskite Solar Cells.md
arxiv:2104.04015,CutPaste: Self-Supervised Learning for Anomaly Detection and Localization,2021,research,arXiv,Chun-Liang Li | Kihyuk Sohn | Jinsung Yoon | Tomas Pfister,,2104.04015,https://arxiv.org/abs/2104.04015,processed,MVTec AD,MVTec AD,MVTec AD,Data augmentation | Defect synthesis | Synthetic data generation,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC,yes,structured metadata,rule-based insertion,Papers/Research/2021 - CutPaste Self-Supervised Learning for Anomaly Detection and Localization.md
doi:10.1109/icumt54235.2021.9631567,Deep Learning-Based Defect Detection of Metal Parts: Evaluating Current Methods in Complex Conditions,2021,benchmark,ICUMT,Stepan Jezek | Martin Jonak | Radim Burget | Pavel Dvorak | Milos Skotak,10.1109/icumt54235.2021.9631567,,https://doi.org/10.1109/ICUMT54235.2021.9631567,processed,MPDD,MPDD,MPDD,Unsupervised anomaly detection | Deep convolutional neural network,Metallic surface defect detection | Industrial anomaly detection,Metal inspection,AU-ROC,no,none,,Papers/Benchmark/2021 - Deep Learning-Based Defect Detection of Metal Parts Evaluating Current Methods in Complex Conditions.md
sha256:d156e2f050ef05c18b83269be18f52cde19796faf0e023c3d04bc6f37d330b99,Defect detection in CT scans of cast aluminum parts: A machine vision perspective,2021,research,Neurocomputing,Patrick Fuchs | Thorben Kröger | Christoph S. Garbe,,,https://doi.org/10.1016/j.neucom.2021.04.094,processed,Simulated CT defect scans | Hand-labeled real CT defect scans,,,Simulation-based data augmentation | Synthetic data generation | 3D convolutional segmentation network | U-Net | refinement stage,Defect segmentation | 3D CT defect segmentation | pore and cavity detection,Metal inspection | Nondestructive testing,Probability of detection | IoU,no,structured metadata,,Papers/Research/2021 - Defect Detection in CT Scans of Cast Aluminum Parts.md
sha256:1babf23e0b2b520e4f08ce2b39eac2d3f6b6f1c8572f02d30503b34d80ec22e3,Defect-GAN: High-Fidelity Defect Synthesis for Automated Defect Inspection,2021,research,WACV 2021,Gongjie Zhang | Kaiwen Cui | Tzu-Yi Hung | Shijian Lu,,,,processed,CODEBRIM,CODEBRIM,CODEBRIM,GAN | Defect synthesis | Synthetic data generation | Defect-GAN | spatial and categorical control | adaptive noise insertion | layer-wise composition,Defect synthesis | Defect classification,Construction inspection | Industrial visual inspection,FID | Accuracy,yes,structured metadata,GAN-based generation,Papers/Research/2021 - Defect-GAN High-Fidelity Defect Synthesis for Automated Defect Inspection.md
doi:10.1155/2021/9948808,Fabric Defect Detection in Textile Manufacturing: A Survey of the State of the Art,2021,review,Security and Communication Networks,Chao Li | Jun Li | Yafei Li | Lingmin He | Xiaokang Fu | Jingjing Chen,10.1155/2021/9948808,,https://doi.org/10.1155/2021/9948808,processed,TILDA | KTH-TIPS,TILDA,TILDA,GAN | Data augmentation | Synthetic data generation,Textile defect detection,Textile and fiber inspection,,yes,structured metadata,GAN-based generation,Papers/Review/2021 - Fabric Defect Detection in Textile Manufacturing A Survey of the State of the Art.md
