node_id,node_type,title,aliases,status,year,paper_type,availability,paper_key,doi,url,source_note
Datasets/Availability Unspecified/BBMP,Datasets,BBMP,Glass bottle bottom mold point dataset | Bottle bottom mold point dataset,,,,unspecified,,,,Datasets/Availability Unspecified/BBMP.md
Datasets/Availability Unspecified/BeesBook marker dataset,Datasets,BeesBook marker dataset,Bee marker dataset,,,,unspecified,,,,Datasets/Availability Unspecified/BeesBook marker dataset.md
Datasets/Availability Unspecified/CamVid,Datasets,CamVid,,,,,unspecified,,,,Datasets/Availability Unspecified/CamVid.md
Datasets/Availability Unspecified/CARPK,Datasets,CARPK,CARPK dataset,,,,unspecified,,,,Datasets/Availability Unspecified/CARPK.md
Datasets/Availability Unspecified/CBCL StreetScenes,Datasets,CBCL StreetScenes,,,,,unspecified,,,,Datasets/Availability Unspecified/CBCL StreetScenes.md
Datasets/Availability Unspecified/CGD,Datasets,CGD,Construction Glass Defects | Construction glass defect dataset,,,,unspecified,,,https://github.com/FisherYuuri/GSDNet,Datasets/Availability Unspecified/CGD.md
Datasets/Availability Unspecified/CIFAR-10,Datasets,CIFAR-10,,,,,unspecified,,,,Datasets/Availability Unspecified/CIFAR-10.md
Datasets/Availability Unspecified/Cityscapes,Datasets,Cityscapes,Cityscapes dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Cityscapes.md
Datasets/Availability Unspecified/Commutator Cylinder Surface Defect Dataset,Datasets,Commutator Cylinder Surface Defect Dataset,Commutator Cylinder Surface Defect Dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Commutator Cylinder Surface Defect Dataset.md
Datasets/Availability Unspecified/CrackForestDataset,Datasets,CrackForestDataset,CFD,,,,unspecified,,,,Datasets/Availability Unspecified/CrackForestDataset.md
Datasets/Availability Unspecified/DAGM,Datasets,DAGM,,stable,,,unspecified,,,,Datasets/Availability Unspecified/DAGM.md
Datasets/Availability Unspecified/Domain-randomized KITTI car detection synthetic dataset,Datasets,Domain-randomized KITTI car detection synthetic dataset,Tremblay DR car detection dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Domain-randomized KITTI car detection synthetic dataset.md
Datasets/Availability Unspecified/EL Solar Cells Dataset,Datasets,EL Solar Cells Dataset,EL Solar Cells | EL Solar Cells dataset,,,,unspecified,,,,Datasets/Availability Unspecified/EL Solar Cells Dataset.md
Datasets/Availability Unspecified/Eyecandies,Datasets,Eyecandies,EyeCandies,,,,unspecified,,,,Datasets/Availability Unspecified/Eyecandies.md
Datasets/Availability Unspecified/Fabric Dataset,Datasets,Fabric Dataset,Fabric Dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Fabric Dataset.md
Datasets/Availability Unspecified/Fiber placement laser line scan images,Datasets,Fiber placement laser line scan images,Laser line scan sensor images from six fiber placement inspection cases,stable,,,unspecified,,,,Datasets/Availability Unspecified/Fiber placement laser line scan images.md
Datasets/Availability Unspecified/GLUE,Datasets,GLUE,General Language Understanding Evaluation,,,,unspecified,,,https://gluebenchmark.com/leaderboard,Datasets/Availability Unspecified/GLUE.md
Datasets/Availability Unspecified/Hand-labeled real CT defect scans,Datasets,Hand-labeled real CT defect scans,Two real CT scans with high-quality hand-labeled ground truth,stable,,,unspecified,,,,Datasets/Availability Unspecified/Hand-labeled real CT defect scans.md
Datasets/Availability Unspecified/IMDB movie reviews,Datasets,IMDB movie reviews,IMDB movie review dataset,,,,unspecified,,,,Datasets/Availability Unspecified/IMDB movie reviews.md
Datasets/Availability Unspecified/Industrial defect detection augmentation datasets,Datasets,Industrial defect detection augmentation datasets,Industrial defect detection augmentation datasets,,,,unspecified,,,,Datasets/Availability Unspecified/Industrial defect detection augmentation datasets.md
Datasets/Availability Unspecified/Industrial electric parts synthetic dataset,Datasets,Industrial electric parts synthetic dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Industrial electric parts synthetic dataset.md
Datasets/Availability Unspecified/IP-def,Datasets,IP-def,Insulation partition defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/IP-def.md
Datasets/Availability Unspecified/KITTI,Datasets,KITTI,KITTI dataset,,,,unspecified,,,,Datasets/Availability Unspecified/KITTI.md
Datasets/Availability Unspecified/LaceCls,Datasets,LaceCls,LaceCls dataset,,,,unspecified,,,,Datasets/Availability Unspecified/LaceCls.md
Datasets/Availability Unspecified/Magnetic Particle Inspection Dataset,Datasets,Magnetic Particle Inspection Dataset,Magnetic Particle Inspection Dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Magnetic Particle Inspection Dataset.md
Datasets/Availability Unspecified/Metal Hook Defect Dataset,Datasets,Metal Hook Defect Dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Metal Hook Defect Dataset.md
Datasets/Availability Unspecified/Metal Iron Sheet Dataset,Datasets,Metal Iron Sheet Dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Metal Iron Sheet Dataset.md
Datasets/Availability Unspecified/Metal parts complex conditions dataset,Datasets,Metal parts complex conditions dataset,Metal parts complex conditions dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Metal parts complex conditions dataset.md
Datasets/Availability Unspecified/Metal Phone Band Dataset,Datasets,Metal Phone Band Dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Metal Phone Band Dataset.md
Datasets/Availability Unspecified/Mobile Phone Flat Glass Defect Dataset,Datasets,Mobile Phone Flat Glass Defect Dataset,Mobile phone flat glass dataset | Cell phone flat glass defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Mobile Phone Flat Glass Defect Dataset.md
Datasets/Availability Unspecified/MPIIGaze,Datasets,MPIIGaze,,,,,unspecified,,,,Datasets/Availability Unspecified/MPIIGaze.md
Datasets/Availability Unspecified/NYU hand pose dataset,Datasets,NYU hand pose dataset,NYU hand pose,,,,unspecified,,,,Datasets/Availability Unspecified/NYU hand pose dataset.md
Datasets/Availability Unspecified/O-ring Dataset,Datasets,O-ring Dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/O-ring Dataset.md
Datasets/Availability Unspecified/OGD-DET,Datasets,OGD-DET,OGD | OGD DataSet | DataSet of DR1 Optical Glass | Optical glass defect dataset | OGD-DET dataset upon request,,,,unspecified,,,https://pntehan.github.io/OGD-DET/,Datasets/Availability Unspecified/OGD-DET.md
Datasets/Availability Unspecified/PCB defect recognition dataset,Datasets,PCB defect recognition dataset,Con-GAN PCB defect recognition dataset,,,,unspecified,,,,Datasets/Availability Unspecified/PCB defect recognition dataset.md
Datasets/Availability Unspecified/PCB electronic component inspection dataset,Datasets,PCB electronic component inspection dataset,PCB electronic component inspection dataset,,,,unspecified,,,https://github.com/long-deep/pcb-detect,Datasets/Availability Unspecified/PCB electronic component inspection dataset.md
Datasets/Availability Unspecified/Photovoltaic panel defect dataset,Datasets,Photovoltaic panel defect dataset,Solar panel defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Photovoltaic panel defect dataset.md
Datasets/Availability Unspecified/Piston Dataset,Datasets,Piston Dataset,Piston Dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Piston Dataset.md
Datasets/Availability Unspecified/PKU-Market-PCB,Datasets,PKU-Market-PCB,PKU-Market-PCB dataset | PKU Market PCB,,,,unspecified,,,,Datasets/Availability Unspecified/PKU-Market-PCB.md
Datasets/Availability Unspecified/Printed product surface dataset,Datasets,Printed product surface dataset,,stable,,,unspecified,,,,Datasets/Availability Unspecified/Printed product surface dataset.md
Datasets/Availability Unspecified/Real-IAD D3,Datasets,Real-IAD D3,Real-IAD D³ | Real-IAD D3,,,,unspecified,,,https://realiad4ad.github.io/Real-IAD_D3,Datasets/Availability Unspecified/Real-IAD D3.md
Datasets/Availability Unspecified/Real-world endoscopic defect image test dataset,Datasets,Real-world endoscopic defect image test dataset,,stable,,,unspecified,,,,Datasets/Availability Unspecified/Real-world endoscopic defect image test dataset.md
Datasets/Availability Unspecified/Real-world endoscopic defect image training dataset,Datasets,Real-world endoscopic defect image training dataset,,stable,,,unspecified,,,,Datasets/Availability Unspecified/Real-world endoscopic defect image training dataset.md
Datasets/Availability Unspecified/RSDDs,Datasets,RSDDs,,stable,,,unspecified,,,,Datasets/Availability Unspecified/RSDDs.md
Datasets/Availability Unspecified/RSGD,Datasets,RSGD,Recycled Mobile Screen Defects | Recycled mobile screen defect dataset,,,,unspecified,,,https://github.com/FisherYuuri/GSDNet,Datasets/Availability Unspecified/RSGD.md
Datasets/Availability Unspecified/RUOD,Datasets,RUOD,Rethinking general underwater object detection,,,,unspecified,,,,Datasets/Availability Unspecified/RUOD.md
Datasets/Availability Unspecified/SAPF,Datasets,SAPF,Solar aluminum profile frame surface defect dataset,stable,,,unspecified,,,,Datasets/Availability Unspecified/SAPF.md
Datasets/Availability Unspecified/SDR synthetic vehicle dataset,Datasets,SDR synthetic vehicle dataset,Structured domain randomization vehicle data,,,,unspecified,,,,Datasets/Availability Unspecified/SDR synthetic vehicle dataset.md
Datasets/Availability Unspecified/SEE-Q,Datasets,SEE-Q,,stable,,,unspecified,,,https://github.com/RicardoSPeres/simulation-synth-adhesive,Datasets/Availability Unspecified/SEE-Q.md
Datasets/Availability Unspecified/Semiconductor visual inspection dataset,Datasets,Semiconductor visual inspection dataset,Semiconductor visual inspection dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Semiconductor visual inspection dataset.md
Datasets/Availability Unspecified/Simulated CT defect scans,Datasets,Simulated CT defect scans,Realistically simulated CT scans,stable,,,unspecified,,,,Datasets/Availability Unspecified/Simulated CT defect scans.md
Datasets/Availability Unspecified/Six public industrial image datasets,Datasets,Six public industrial image datasets,,,,,unspecified,,,,Datasets/Availability Unspecified/Six public industrial image datasets.md
Datasets/Availability Unspecified/SQuAD v1.1,Datasets,SQuAD v1.1,Stanford Question Answering Dataset v1.1,,,,unspecified,,,,Datasets/Availability Unspecified/SQuAD v1.1.md
Datasets/Availability Unspecified/SQuAD v2.0,Datasets,SQuAD v2.0,Stanford Question Answering Dataset v2.0,,,,unspecified,,,,Datasets/Availability Unspecified/SQuAD v2.0.md
Datasets/Availability Unspecified/Surface defect limited-data benchmark datasets,Datasets,Surface defect limited-data benchmark datasets,Surface defect limited-data benchmark datasets,,,,unspecified,,,,Datasets/Availability Unspecified/Surface defect limited-data benchmark datasets.md
Datasets/Availability Unspecified/SWAG,Datasets,SWAG,Situations With Adversarial Generations,,,,unspecified,,,,Datasets/Availability Unspecified/SWAG.md
Datasets/Availability Unspecified/Synthetic steel defect dataset,Datasets,Synthetic steel defect dataset,Synthetic steel defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Synthetic steel defect dataset.md
Datasets/Availability Unspecified/Synthetic turbocharger housing defect dataset,Datasets,Synthetic turbocharger housing defect dataset,,stable,,,unspecified,,,,Datasets/Availability Unspecified/Synthetic turbocharger housing defect dataset.md
Datasets/Availability Unspecified/Taiwan company 21-defect wafer map dataset,Datasets,Taiwan company 21-defect wafer map dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Taiwan company 21-defect wafer map dataset.md
Datasets/Availability Unspecified/Tobin geometric object localization dataset,Datasets,Tobin geometric object localization dataset,,,,,unspecified,,,,Datasets/Availability Unspecified/Tobin geometric object localization dataset.md
Datasets/Availability Unspecified/UCI classification benchmarks,Datasets,UCI classification benchmarks,UCI repository classification datasets,,,,unspecified,,,,Datasets/Availability Unspecified/UCI classification benchmarks.md
Datasets/Availability Unspecified/UnityEyes,Datasets,UnityEyes,,,,,unspecified,,,,Datasets/Availability Unspecified/UnityEyes.md
Datasets/Availability Unspecified/Urban LabelMe,Datasets,Urban LabelMe,,,,,unspecified,,,,Datasets/Availability Unspecified/Urban LabelMe.md
Datasets/Availability Unspecified/WAAM metallic surface defect dataset,Datasets,WAAM metallic surface defect dataset,Wire and arc additive manufacturing surface defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/WAAM metallic surface defect dataset.md
Datasets/Availability Unspecified/WMT 2014 English-French,Datasets,WMT 2014 English-French,WMT 2014 English-to-French,,,,unspecified,,,,Datasets/Availability Unspecified/WMT 2014 English-French.md
Datasets/Availability Unspecified/WMT 2014 English-German,Datasets,WMT 2014 English-German,WMT 2014 English-to-German,,,,unspecified,,,,Datasets/Availability Unspecified/WMT 2014 English-German.md
Datasets/Availability Unspecified/Woven fabric defect dataset,Datasets,Woven fabric defect dataset,Woven fabric defect dataset,,,,unspecified,,,,Datasets/Availability Unspecified/Woven fabric defect dataset.md
Datasets/Dataset Source Links,Datasets,Dataset Source Links,,,,,not reported,,,,Datasets/Dataset Source Links.md
Datasets/Private/AuGD,Datasets,AuGD,Automotive Glass Defects | Automotive glass defect dataset,,,,private,,,https://github.com/FisherYuuri/GSDNet,Datasets/Private/AuGD.md
Datasets/Private/Demirci custom EL dataset,Datasets,Demirci custom EL dataset,custom real-world EL dataset,,,,private,,,,Datasets/Private/Demirci custom EL dataset.md
Datasets/Public/AGDD,Datasets,AGDD,Aircraft Glass Defect Dataset | Aircraft glass canopy defect dataset,,,,public,,,https://github.com/core128/AGDD,Datasets/Public/AGDD.md
Datasets/Public/AITEX,Datasets,AITEX,AITEX | AITEX AFID | Public fabric defect database,,,,public,,,https://www.aitex.es/afid/,Datasets/Public/AITEX.md
Datasets/Public/APDDD,Datasets,APDDD,Aluminum Profile Surface Defect Detection Dataset | Aluminum Profile Surface Detection Database,,,,public,,,https://tianchi.aliyun.com/dataset/148297,Datasets/Public/APDDD.md
Datasets/Public/AutoVI,Datasets,AutoVI,AutoVI | Automotive Visual Inspection Dataset | The Automotive Visual Inspection Dataset,,,,public,,10.5281/zenodo.10459003,https://zenodo.org/records/10459003,Datasets/Public/AutoVI.md
Datasets/Public/Batavia and Sarga woven fabric images,Datasets,Batavia and Sarga woven fabric images,Original and processed dataset of Batavia and Sarga woven fabric images | Batavia and Sarga fabric defect dataset,,,,public,,,https://doi.org/10.36443/10259/9965,Datasets/Public/Batavia and Sarga woven fabric images.md
Datasets/Public/BenchmarkELimages,Datasets,BenchmarkELimages,Benchmark datasets for defect detection in EL images of solar cells using semantic segmentation | Benchmark dataset of solar PV EL images and ground truth masks | PV EL semantic segmentation benchmark,,,,public,,,https://github.com/TheMakiran/BenchmarkELimages,Datasets/Public/BenchmarkELimages.md
Datasets/Public/Bosch Production Line Performance,Datasets,Bosch Production Line Performance,Bosch Production Line Performance | Bosch Production Line Performance dataset | Bosch assembly line fault detection dataset,,,,public,,,https://www.kaggle.com/c/bosch-production-line-performance,Datasets/Public/Bosch Production Line Performance.md
Datasets/Public/Bosch Surface Defect Inspection Dataset,Datasets,Bosch Surface Defect Inspection Dataset,Bosch Surface Defect Inspection Dataset | Bosch industrial dataset | Surface Defect Inspection | SDI,,,,public,,,https://github.com/boschresearch/The-Surface-Defect-Inspection-Dataset,Datasets/Public/Bosch Surface Defect Inspection Dataset.md
Datasets/Public/Bottle-Cap Dataset,Datasets,Bottle-Cap Dataset,Bottle-Cap Dataset | BottleCap | BC defects | Bottle-Cap,,,,public,,,https://github.com/zhg-SZPT/MeDetection/tree/master/dataset/BC%20defects,Datasets/Public/Bottle-Cap Dataset.md
Datasets/Public/BSData,Datasets,BSData,Industrial Machine Tool Component Surface Defect Dataset | Industrial Machine Tool Element Surface Defect Dataset | Ball Screw Drive Surface Defect Dataset,stable,,,public,,10.5445/IR/1000129520,https://github.com/2Obe/BSData,Datasets/Public/BSData.md
Datasets/Public/BTAD,Datasets,BTAD,BTAD | BeanTech | BeanTech Anomaly Detection | BeanTech AD,,,,public,,,http://avires.dimi.uniud.it/papers/btad/btad.zip,Datasets/Public/BTAD.md
Datasets/Public/CarDD,Datasets,CarDD,Car Damage Detection | CarDD dataset | Car Damage Detection dataset,,,,public,,,https://cardd-ustc.github.io/,Datasets/Public/CarDD.md
Datasets/Public/COCO,Datasets,COCO,MS COCO | COCO detection,,,,public,,,http://mscoco.org/dataset/#detections-challenge2015,Datasets/Public/COCO.md
Datasets/Public/CODEBRIM,Datasets,CODEBRIM,,stable,,,public,,,https://doi.org/10.5281/zenodo.2620293,Datasets/Public/CODEBRIM.md
Datasets/Public/Compressor blade borescope images,Datasets,Compressor blade borescope images,Stage 4 high-pressure compressor blade images from borescope inspection video,stable,,,public,,,https://www.youtube.com/watch?v=eO6GRU4RfC4,Datasets/Public/Compressor blade borescope images.md
Datasets/Public/CottonSFDG,Datasets,CottonSFDG,CottonSFDG | Cotton-Fabric | Standard Fabric Defect Glossary | Cotton Incorporated fabric defect glossary,,,,public,,,https://www.cottoninc.com/quality-products/textile-resources/fabric-defect-glossary,Datasets/Public/CottonSFDG.md
Datasets/Public/CSDD,Datasets,CSDD,Casting Surface Defect Dataset | CSDD benchmark dataset,,,,public,,,https://github.com/Kerio99/CSDD,Datasets/Public/CSDD.md
Datasets/Public/DAGM2007,Datasets,DAGM2007,DAGM2007 | DAGM 2007 | Weakly supervised learning for industrial optical inspection,,,,public,,10.5281/zenodo.8086136,https://zenodo.org/records/8086136,Datasets/Public/DAGM2007.md
Datasets/Public/Dataset of Solar Cells Defect Segmentation,Datasets,Dataset of Solar Cells Defect Segmentation,Dataset_of_solar_cells-defect_segmentation | SolarCells | SolarCells-S | PVEL-S | xiaoyunchen666 dataset-of-solar-cells-defect-segmentation,,,,public,,,https://www.kaggle.com/datasets/xiaoyunchen666/dataset-of-solar-cells-defect-segmentation,Datasets/Public/Dataset of Solar Cells Defect Segmentation.md
Datasets/Public/DeepPCB,Datasets,DeepPCB,,,,,public,,,https://github.com/tangsanli5201/DeepPCB,Datasets/Public/DeepPCB.md
Datasets/Public/Defect Spectrum,Datasets,Defect Spectrum,Defect Spectrum | Defect Spectrum benchmark,,,,public,,,https://envision-research.github.io/Defect_Spectrum/,Datasets/Public/Defect Spectrum.md
Datasets/Public/DME Fabric Defect Detection Dataset,Datasets,DME Fabric Defect Detection Dataset,20250129_Fabric_defects | DME Fabric Defect Detection Dataset | 4fcvnr77sb,,,,public,,10.17632/4fcvnr77sb.1,https://data.mendeley.com/datasets/4fcvnr77sb/1,Datasets/Public/DME Fabric Defect Detection Dataset.md
Datasets/Public/Driving synthetic scene flow dataset,Datasets,Driving synthetic scene flow dataset,Driving dataset,,,,public,,,http://lmb.informatik.uni-freiburg.de/resources/datasets/,Datasets/Public/Driving synthetic scene flow dataset.md
Datasets/Public/DsPCBSD+,Datasets,DsPCBSD+,DsPCBSD+,,,,public,,10.6084/m9.figshare.24970329,https://doi.org/10.6084/m9.figshare.24970329,Datasets/Public/DsPCBSD+.md
Datasets/Public/EL-2019,Datasets,EL-2019,EL-2019,,,,public,,,https://github.com/binyisu/EL-2019,Datasets/Public/EL-2019.md
Datasets/Public/ELPV Dataset,Datasets,ELPV Dataset,elpv-dataset | A Benchmark for Visual Identification of Defective Solar Cells in Electroluminescence Imagery | Defective solar cells in electroluminescence imagery,,,,public,,,https://github.com/zae-bayern/elpv-dataset,Datasets/Public/ELPV Dataset.md
Datasets/Public/FabricSpotDefect,Datasets,FabricSpotDefect,FabricSpotDefect dataset | FabricSpotDefect: An Annotated Dataset for Identifying Spot Defects in Different Fabric Types,,,,public,,,https://data.mendeley.com/datasets/6574nhzm8x/1,Datasets/Public/FabricSpotDefect.md
Datasets/Public/FD_Dataset,Datasets,FD_Dataset,FD_Dataset | FD_Dataset.7z | Fabric Defects Object Detection Dataset,,,,public,,10.6084/m9.figshare.25546465.v2,https://figshare.com/articles/dataset/FD_Dataset_7z/25546465,Datasets/Public/FD_Dataset.md
Datasets/Public/FlyingThings3D,Datasets,FlyingThings3D,Flying Things 3D,,,,public,,,http://lmb.informatik.uni-freiburg.de/resources/datasets/,Datasets/Public/FlyingThings3D.md
Datasets/Public/GC10-DET,Datasets,GC10-DET,GC10-DET Metallic Surface Defect Dataset | Defects location for metal surface,,,,public,,,https://github.com/lvxiaoming2019/GC10-DET-Metallic-Surface-Defect-Datasets,Datasets/Public/GC10-DET.md
Datasets/Public/Gearbox components remanufacturing inspection dataset,Datasets,Gearbox components remanufacturing inspection dataset,gearboxcomponents-remanufacturing-inspection | Gearbox components remanufacturing inspection | Remanufacturing gearbox component dataset,,,,public,,,https://www.kaggle.com/datasets/jhnnsbr/gearboxcomponents-remanufacturing-inspection,Datasets/Public/Gearbox components remanufacturing inspection dataset.md
Datasets/Public/Glass Bangle Defect Detection Classification,Datasets,Glass Bangle Defect Detection Classification,Kaggle glass bangle defect dataset | Glass bangle defect classification dataset,,,,public,,,https://www.kaggle.com/datasets/almique/glass-bangle-defect-detection-classification,Datasets/Public/Glass Bangle Defect Detection Classification.md
Datasets/Public/Glass Defects,Datasets,Glass Defects,Kaggle glass-defect | Laminated glass defect dataset | Annotated dataset for training and testing defect detection in laminated glass,,,,public,,,https://www.kaggle.com/datasets/pedrocanoas/glass-defect,Datasets/Public/Glass Defects.md
Datasets/Public/Heat Sink Surface Defect Dataset,Datasets,Heat Sink Surface Defect Dataset,Heat sink surface defect dataset | kaifengyang/heat-sink-surface-defect-dataset,,,,public,,,https://www.kaggle.com/datasets/kaifengyang/heat-sink-surface-defect-dataset,Datasets/Public/Heat Sink Surface Defect Dataset.md
Datasets/Public/HRIPCB,Datasets,HRIPCB,PKU-Market-PCB | PKU-PCB | Peking University PCB dataset | Printed circuit board (PCB) defect dataset | A PCB Dataset for Defects Detection and Classification dataset,,,,public,,,https://robotics.pkusz.edu.cn/resources/datasetENG/,Datasets/Public/HRIPCB.md
Datasets/Public/HSS-IAD,Datasets,HSS-IAD,HSS-IAD,stable,,,public,,,https://github.com/Qiqigeww/HSS-IAD-Dataset,Datasets/Public/HSS-IAD.md
Datasets/Public/ImageNet,Datasets,ImageNet,ImageNet | ILSVRC,,,,public,,10.1109/CVPR.2009.5206848,https://www.image-net.org/,Datasets/Public/ImageNet.md
Datasets/Public/Industrial-5i,Datasets,Industrial-5i,Industrial 5i | A Data Set For Few-Shot Segmentation on Industrial Surface Defect Detation,stable,,,public,,10.57760/sciencedb.06908,https://www.scidb.cn/en/detail?dataSetId=e1c585f563ff47c58bbacd832bac12ba,Datasets/Public/Industrial-5i.md
Datasets/Public/InfraredSolarModules,Datasets,InfraredSolarModules,Infrared Solar Modules | Infrared Solar Module Dataset | InfraredSolarModules dataset,,,,public,,,https://github.com/RaptorMaps/InfraredSolarModules,Datasets/Public/InfraredSolarModules.md
Datasets/Public/KolektorSDD,Datasets,KolektorSDD,KolektorSDD,stable,,,public,,,https://www.vicos.si/resources/kolektorsdd/,Datasets/Public/KolektorSDD.md
Datasets/Public/KolektorSDD2,Datasets,KolektorSDD2,KolektorSDD2,stable,,,public,,,https://www.vicos.si/Downloads/KolektorSDD2,Datasets/Public/KolektorSDD2.md
Datasets/Public/LoHi-WELD,Datasets,LoHi-WELD,LoHi-WELD,,,,public,,10.1109/ACCESS.2024.3407019,https://github.com/SylvioBlock/LoHi-Weld,Datasets/Public/LoHi-WELD.md
Datasets/Public/Lusitano,Datasets,Lusitano,Lusitano dataset | Projeto Lusitano fabric defect dataset,,,,public,,,https://kailashhambarde.github.io/Lusitano/,Datasets/Public/Lusitano.md
